,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
16946,TUBB3,FAM18B2,ITGA11,ZCCHC14,CARTPT,SNORD18B,PSMD2,GYG2,ZNF609
16947,HERC6,SLFNL1,ARHGEF33,DERA,THBS4,GMPS,C21orf29,EFR3A,OR10T2
16948,HERC4,LOC100302401,CTXN2,TRADD,VDAC3,SMPD2,AMPD1,TMEM174,CASP8
16949,HERC5,TIGD3,CTXN1,SEMA6B,C17orf73,RSPO2,AZIN1,KLF9,FAM166A
16950,HERC2,ID1,EIF5B,ZBTB42,C17orf72,RSPO1,PECI,EFR3B,GJC3
16951,HERC3,ID3,PARP8,TH,C17orf71,ACOXL,DCUN1D2,HEATR6,OR51G2
16952,HERC1,ID2,NOP16,TF,C17orf70,CNN3,FAM186B,MT3,FAM114A2
16953,METTL1,ID4,EXOC3L2,TLK2,C17orf77,CNN2,ZNF778,HEATR4,RTDR1
16954,TUBB4,PLAC1L,ITGA10,KCNJ13,C17orf76,RXFP2,TTC13,SNTG2,DDX4
16955,C19orf70,CEP152,MMP23A,TFAM,C17orf75,DHODH,KLHL35,HEATR2,LOC116437
16956,TUBB6,MT1DP,NOP10,COL9A2,C17orf74,ZSCAN29,CA11,HEATR3,CAMK1D
16957,METRN,MAPK8IP3,CIAO1,KCNJ15,PI15,ZNF273,ZFYVE21,TTC23L,NAE1
16958,TUBB8,MAPK8IP2,XKR8,KCNJ14,TMX1,ZNF300,CCDC15,HEATR1,GOLGB1
16959,SULT1C2,CHRNA9,PLCB2,MLXIPL,AR,SUGT1L1,OR5K2,FAM189B,KIAA0586
16960,SULT1C3,USF2,LRRC46,SART3,ANKAR,ZNF277,MAL2,REST,DAO
16961,TRPM3,ARMCX2,TSG1,PNLIP,ZNF250,ZNF275,GSTCD,ASCC3,RRM2B
16962,LOC100128822,HP1BP3,FAM98B,TMX4,ARL2,FURIN,?|728788,TPH2,ARX
16963,C19orf71,CHGB,CNN3,AR,EIF5A,ATR,SRGAP2,BATF3,NRCAM
16964,C19orf73,ANKRD1,RSPO1,TMX1,ZNF254,DKFZP434L187,SSNA1,KLHDC7B,TMEM63A
16965,CHAC1,SNORD26,SLC30A3,TMX3,ZNF257,SCARNA23,LCMT1,CCNA2,ACTRT1
16966,DKFZp761E198,ZNF846,LOC344967,TPTE2P1,ARL6,CHAC1,PPP1R15A,KLHDC7A,PRAMEF18
16967,C17orf51,ANKRD7,GJD3,NAGK,MTERF,TM7SF2,CDKN2D,DEDD,NOM1
16968,SLCO2B1,ANKRD6,GJD4,C20orf85,CRCT1,KCNV2,HFM1,POU1F1,C22orf36
16969,C11orf68,ANKRD5,TAGLN2,C1QTNF8,RRM1,SMPD4,CCDC129,PHF21A,RP2
16970,C17orf58,UBOX5,ZYG11B,CYP4A11,P2RY2,SNTA1,MFNG,KLRK1,LGI2
16971,C17orf59,SEC31A,SCNN1D,MTERF,ZC3H12A,SPANXN5,SYNE2,MUSTN1,CD300A
16972,NYNRIN,OPLAH,EML5,ZNF257,ZC3H12C,MMP23A,HCG2P7,VPS25,PSTPIP1
16973,PSMB9,LOC100268168,EML4,ZNF254,ZC3H12D,FAM98B,C9orf64,NUP35,KPNA6
16974,PEX5L,COL20A1,EML6,EIF5A,ZCCHC14,C17orf101,SULT1A1,NUP37,FLJ35220
16975,APTX,NECAB3,ADM2,COL9A1,TRADD,C17orf100,NANOG,LOC440173,TULP1
16976,SH3BGRL2,TIGD2,EML1,CC2D2A,SLC25A38,PLCB2,CCDC64B,ATP13A1,LOC285501
16977,SH3BGRL3,LEPREL1,GADD45B,CC2D2B,TH,GMPR,FLNC,MAP3K12,OR7D4
16978,FLJ22536,LENEP,BTN1A1,FLJ39739,TLK2,MIPOL1,CBLN4,MAP3K13,OR10J1
16979,ZFYVE28,NCRNA00032,EML2,KIAA1407,KCNJ13,KAAG1,TMCO4,ADNP2,DGCR5
16980,C19orf77,TCF7L2,PLA2G4C,LIMD2,KCNJ12,NUPL2,EFNA1,DDA1,SLC33A1
16981,APOLD1,C14orf105,ASPDH,VAMP5,KCNJ11,ASPDH,CARD14,TTTY1B,LOC144742
16982,C19orf75,LOC284798,FURIN,MNAT1,KCNJ10,PLA2G4C,RPS6KL1,LOC349196,GSG1L
16983,TRPM1,LRRC10,GJD2,RNU11,TFAM,EML2,COL8A2,SLC1A4,RNF148
16984,USP17L6P,AVIL,SPEF1,VAMP4,MLXIPL,HFE2,CASC3,CYP11B2,ADAMTS2
16985,TRPM6,ANKMY2,RSPO2,SLC25A35,TXNL1,GADD45B,GRB14,CYP11B1,DHX36
16986,LRRC46,ANKMY1,OCM2,GLB1L2,FAM35B2,ATP5A1,SLC4A1,SLC1A7,VASH1
16987,EXOC3L2,GNB2L1,RSPO3,SEMA3E,SART3,EML6,LOC100240735,ZNF549,OR4E2
16988,ITGA11,OR4K14,GMPS,SEMA3G,PNLIP,LOC344967,USP14,FUCA1,EXD3
16989,ITGA10,ZFP2,GMPR,PAPPA2,TMX4,NKX6-3,AGTR2,DLEU2L,EI24
16990,NOP10,LRP1B,MIPOL1,STYXL1,OTX1,EML5,CDC123,SLC1A3,FKTN
16991,CIAO1,TCHHL1,KAAG1,TNFRSF18,C17orf79,SCNN1D,CDC14A,YEATS4,PRAMEF5
16992,XKR8,NBEAL2,NUPL2,SYCP2L,C17orf78,ZYG11B,S100A16,LRRC10B,C5orf38
16993,PLCB2,ATP2B3,NUPL1,ARHGAP11A,GYPB,TAGLN2,KIAA0040,ATP13A2,GFRA4
16994,TSG1,XPOT,OR2D3,ARHGAP11B,GYPE,GJD4,EPCAM,RSPH4A,AGAP3
16995,TRPM5,LOC401052,HLA-DPB1,GLT6D1,SLC17A9,GJD3,BMPR1B,VCL,FAM184B
16996,FAM98B,C18orf62,BZRAP1,SLC25A31,C19orf53,GJD2,CACNA1D,NCAPG,CXCL16
16997,MMP23A,TROVE2,NARS2,OR5AC2,C19orf52,ZNF571,GAS1,FAM60A,PIK3R5
16998,SPANXN5,FAM5B,SCN1A,ARL9,C19orf51,SPEF1,HIST1H2BE,DHTKD1,ZNF91
16999,SNTA1,SERPINB9,SFRS3,OXNAD1,C19orf50,HLA-DPB1,MGC42105,OSBPL1A,C12orf42
17000,KCNV1,TATDN3,CETP,SLC25A33,C19orf57,HLA-DPB2,FKBP4,IQCF5,LOC284233
17001,KCNV2,MYCBP2,SPEF2,ARL1,C19orf55,SPEF2,NSUN5P1,DCTPP1,ZNF639
17002,TM7SF2,SERPINB8,HLA-DPB2,ZNF250,LECT1,PDE11A,HOXB9,FCGR1B,OR11H12
17003,NOP16,PTBP2,C1orf189,ARL2,C19orf59,SFRS3,AK2,FCGR1A,KRT85
17004,PARP8,PTBP1,TBCCD1,ZNF654,LECT2,SCN1A,WFIKKN2,IKBKE,FAM193A
17005,EIF5B,ZNF445,P2RY2,GFM2,ATF7IP2,NARS2,CARD10,UNC93B1,MDM4
17006,CTXN1,CT62,MAP6,GKN2,TRPV1,BZRAP1,TAGAP,RG9MTD2,PTCD3
17007,TRPM4,CACNG3,C14orf102,RAB1B,C11orf49,OR2D3,NELF,SNHG3,TMCO2
17008,TP53TG3B,TUSC3,BAT1,ZNF132,PRR11,OCM2,ANXA5,MICB,LOC100134229
17009,TRPM8,HK1,BAT2,FAM164C,LACTB,BRIP1,NAGA,ENTHD1,OR52R1
17010,DPYS,ZBTB6,C14orf101,FAM164A,C11orf40,LRP3,SLC25A25,IQCF3,PDHB
17011,IL28RA,HK3,C14orf106,C14orf169,C11orf46,LAG3,RBPJ,GNL3,OR10K2
17012,8-Mar,HK2,BAT5,C14orf167,TNFSF13,TNFAIP8L2,IFIT1,GNL2,POLR2J2
17013,NONO,FAM19A1,C14orf104,C14orf165,TAS2R5,MAPKAPK5,CLEC4M,GNL1,SLC25A21
17014,MAML1,FAM19A2,C14orf105,BSPH1,DIRAS1,FBXO5,NDST1,RARB,ATP6V1G3
17015,MAML3,FAM19A5,LOC284798,OSBP,DIRAS3,BATF,ELMO2,FAM163B,YAF2
17016,MAML2,FAM19A4,LRRC10,C14orf162,DIRAS2,LOC100130264,PGBD1,FAM163A,ATXN1
17017,STK35,DOK7,LRRC15,TCTA,LMO4,TRIM6,LOC441454,DHRS9,CRYBB3
17018,OR2A9P,TYW1B,AQP7P1,SNX3,TAS2R3,FBXO6,CDC37L1,DHRS7,HMGXB4
17019,CCKBR,NNT,LRRC17,SNX2,PUM2,LOC148413,CRTAC1,DHRS4,SGK196
17020,ARHGEF33,CASP14,AQP7P3,OCM,LOC100129387,PABPC1,NPM2,DHRS2,POM121
17021,CTXN2,AFG3L2,LRRC19,SNX6,SFXN4,MACF1,SYT8,DHRS3,DIS3L2
17022,DMRTA1,CASP12,LRRC18,SNX4,PUM1,LOC653786,IFI6,DHRS1,OR51A7
17023,EBPL,ANTXRL,ZNF532,LOC645332,MANSC1,PABPC5,FKBPL,RARS,PNPLA4
17024,ADH1C,TOM1L2,CRLS1,RPL27A,GYPA,PHLPP2,ANKRD6,MIPEP,CENPJ
17025,PML,BASE,RAB3C,SNX8,PRB4,FBXO9,XPC,RABIF,SGK3
17026,CECR1,NFAM1,OR10J1,VWC2,SNTG1,DQX1,CAPZA1,DYRK1A,SNORA38B
17027,REEP6,ZNF713,TMEM202,TRMT1,THBS3,EED,CLCN7,RPS28,UPB1
17028,PI4KAP2,ZNF860,GLIPR1L1,CASD1,MFAP4,MAPKAPK3,LOC285796,DYRK1B,SLC22A13
17029,ARMCX3,EBPL,NFATC3,XPO6,MFAP3,TBX6,MYH2,PHF21B,CALML5
17030,DLC1,RFC4,RBKS,CCDC127,MFAP1,MAPKAPK2,DPY30,MAS1L,C14orf105
17031,REEP2,DMRTA1,ARMC6,CCDC126,OTX2,PDHX,KAZALD1,CCNL1,AP1G1
17032,REEP3,ZNF716,RRS1,CCDC124,OR2L8,ZFHX4,RARS,JAKMIP2,MATR3
17033,RPRM,THG1L,IDS,CCDC123,C6orf125,ZNF804A,CSK,JAKMIP1,MMP23A
17034,FUBP1,ZNF718,OR7E91P,CCDC122,C6orf127,DUPD1,CAPN9,CCNL2,CRTC1
17035,POLD4,TIE1,ATP8B5P,CCDC120,C6orf126,LOC400891,NUP37,LOC727677,RSPH6A
17036,LOC641298,EPHA10,C14orf109,CEL,C6orf120,PIK3R5,TMLHE,DHRSX,FAM90A7
17037,POLD2,DYNC1H1,RAB3A,TIMELESS,C6orf122,PIK3R4,AP4M1,GHRLOS,FAM22A
17038,POLD1,TMEM208,TOMM40L,PLD3,C3orf1,PIK3R3,MLYCD,TPO,AGAP6
17039,BICD2,MAPT,LOC730811,PCA3,ZPBP,OXT,SEC22C,SLIT2,TBX1
17040,CGB,HLA-DQA1,XCL1,ZIK1,NDUFB8,PALM2,WT1,GNLY,LOC440896
17041,HIATL2,OR4K15,ARMCX5,FGB,PVRL3,CTNNBL1,DPF3,PCYT2,NT5C3L
17042,CECR2,HLA-DQA2,SMEK2,SLC30A2,OR5AK2,MRPL45,CACNA1H,NOMO2,CDCA7
17043,CECR4,CASP10,AASDHPPT,C6orf192,NDUFB6,PDHB,FGL2,NOMO3,ARL5A
17044,CGA,DHCR7,ARMCX6,ZFP112,HEBP1,TNF,C14orf184,SLC11A2,LOC285370
17045,CHRNA5,C14orf28,LOC284632,FGR,HBS1L,NR1I2,OR5AN1,NOMO1,WDR70
17046,SAV1,YIF1A,ELFN1,USP35,VAC14,LOC100130274,PSMC2,BAZ1A,MFAP1
17047,CHRNA3,NME1-NME2,PIK3R5,SEC14L4,TMEM186,ATP2B3,VPS39,IMPA1,DEFB115
17048,CHRNA2,ASB18,PDHB,SLC12A7,THAP1,FAM19A5,NDUFAF4,IMPA2,CNTROB
17049,CHRNA1,ASB17,ZNF107,SLC12A1,ID2B,FAM19A2,OXER1,BAZ1B,CPN1
17050,FER,C14orf23,CTNNBL1,TDRD5,GEMIN8,FAM19A3,LOC642826,CCRN4L,TTC39C
17051,CHRNA7,ASB15,PIK3R1,SLC12A3,NDUFB2,FAM19A1,PTPRN2,IL15RA,ANKRD56
17052,CHRNA6,C14orf21,PIK3R2,OR5M3,IWS1,HK2,PECR,HRK,ATHL1
17053,CHRNA4,ASB13,PIK3R3,FGG,APRT,HK3,EHF,M6PR,LOC284837
17054,CECR5,ASB12,PIK3R4,SLC12A9,ZFYVE20,ZBTB6,RNF40,SNAI2,LOC100129055
17055,ARL6IP1,ASB11,LOC400891,FGA,RPS6KL1,HK1,C10orf95,SNAI3,LOC100129534
17056,TLR4,ASB10,LOC286367,MRVI1,ITGB7,TUSC3,ICAM5,HRG,FLJ42289
17057,ARL6IP4,VPS33A,GOLPH3,NCRNA00113,SRC,CACNG3,HSP90B1,SNAI1,CXorf50B
17058,ARL6IP5,CACNA2D3,ZNF804A,OR5M1,EML4,CT62,C16orf91,HRC,AMBN
17059,ARL6IP6,CACNA2D1,ZFHX4,EXT2,C18orf2,ZNF445,SIPA1L3,OSBPL10,HAND1
17060,CECR7,AQP7P1,PDHX,EXT1,CENPM,CACNA2D2,BAI2,OR4F29,C9orf41
17061,CECR6,FAM83H,MAPKAPK2,IMP5,TCF25,CACNA2D3,MCHR1,LELP1,C5orf15
17062,CCDC108,SLC10A2,MAPKAPK3,ATP1B4,EP300,CACNA2D1,HIST1H2AJ,14-Sep,CTAG2
17063,CGN,TIAL1,TSSK6,ACIN1,NAT10,CYP27C1,FCGR1A,SLC2A9,MCOLN1
17064,USF2,PDIA4,FAM83H,ATP1B3,TAAR5,ATP2B4,ARL6IP5,SLC2A8,RTF1
17065,ARMCX5,TMEM38A,ZNF235,ATP1B1,PDCD5,VSIG1,CCDC159,PTGES3,TMEM8C
17066,OR7E91P,PTPRN2,CATSPER2P1,TFB1M,TAAR1,C1orf53,FAM158A,PTGES2,CCK
17067,TMEM202,ZNF235,LOC643763,RBM12B,LOC388692,YWHAZ,TLL2,SLC2A5,CCL15
17068,ATP8B5P,LOC286367,PTCRA,TESK1,ANUBL1,GPR160,OSM,RSPO4,CLUL1
17069,RAB3A,PDHB,HEXIM2,LOC91316,HNRNPD,MLC1,ATP2B2,SLC2A3,RFPL1S
17070,TOMM40L,CACNA2D4,DENND5A,PSMC3,TAAR9,10-Sep,ACTRT2,FA2H,MADD
17071,LOC730811,ZNF107,DENND5B,PLD2,FAM55A,CACNG4,FAM162A,SLC2A1,OR14J1
17072,XCL1,CTNNBL1,HEXIM1,SNHG7,ALDH2,ZFPM2,STRN4,ECHS1,OR10H2
17073,SMEK2,PIK3R1,HACE1,ITPKC,FAM55C,MSRA,SCNN1A,SLC25A5,DDX46
17074,RRS1,PIK3R2,NAIP,COL22A1,C18orf1,SUPT4H1,HCN1,DIXDC1,PLCH1
17075,AASDHPPT,PIK3R3,PMFBP1,ZNF771,4-Sep,TBX1,ARPC4,PLAGL2,KRTAP13-1
17076,C14orf109,PIK3R4,PTPRN2,MMP28,NEU4,ZWILCH,SPAG6,HKR1,C20orf185
17077,OR10J1,PIK3R5,C15orf2,MUT,9-Sep,XRN1,ATP2A3,PLAGL1,FLJ40434
17078,RAB3C,OR4A5,C15orf5,PIWIL3,RCE1,PRSS22,CWC22,FAM24A,HIST1H2BA
17079,CRLS1,C15orf5,OR4A5,CHAD,LENG8,ZNF235,HDC,FAM24B,KRTAP20-4
17080,C14orf102,C15orf2,SLC10A2,MED28,C18orf8,GALNT12,C8orf46,FAM197Y2,PPIG
17081,BAT1,PMFBP1,TIAL1,NCRNA00051,ATP5F1,ATP8B5P,CYB561,TBC1D3B,ITGBL1
17082,IDS,AQP7P3,PDIA4,FABP6,LOC92249,BAT2,JAK1,SLC1A5,OR51D1
17083,ARMC6,LRRC19,TMEM38A,FABP4,ARMS2,BAT1,C6orf142,SYF2,TCTE1
17084,CCDC107,LRRC18,GLIPR1L2,CHAT,SPANXA2,C14orf102,EGFL8,USP24,CABP4
17085,NCAM2,ZNF532,CDRT15P,FABP1,SCN9A,CRLS1,MT1IP,C1orf112,SP3
17086,CCDC104,ARMCX6,TNFAIP8L3,AKR1C4,RPRD1A,RAB3C,ALDH7A1,TBC1D3H,ARAP1
17087,CCDC105,LOC284632,CHRNA2,GABRA6,STOM,OR10J1,HLA-L,LOC100270710,UGT1A10
17088,ARMC5,ELFN1,MAPK8IP3,GABRA1,CXorf38,C14orf109,ACSL3,C1orf111,EVPLL
17089,CCDC103,CATSPER2P1,MAPK8IP2,AKR1C3,RPRD1B,CNTROB,CHPT1,SOX2OT,VNN2
17090,FAHD2B,PTCRA,CHRNA9,FKSG29,COL5A3,SMEK2,BCL8,TEAD4,PGGT1B
17091,CCDC101,HEXIM2,USF2,MSTO2P,COL5A2,ARMCX5,CCND2,MCM8,ALG2
17092,TNFAIP8L2,DENND5A,ARMCX2,MMP26,GKN2,XCL1,EMP1,IGFL3,SCGB3A2
17093,LRG1,DENND5B,SAV1,ZNF530,GKN1,LOC730811,UBN1,CCAR1,ZSCAN5A
17094,RBKS,HEXIM1,CHRNA3,MTERFD3,NCRNA00051,TOMM40L,SLC16A1,IGFL1,OR8H1
17095,ZNF204P,HACE1,CHRNA1,SPDYC,AHI1,RAB3A,MYH7B,MTDH,GNA14
17096,IDE,NAIP,CEP152,CENPC1,FABP7,TMEM202,ZSCAN12,AMELX,PLA2G4E
17097,TNFAIP8L3,LOC400891,FER,?|57714,FABP4,C14orf106,DSCC1,C1orf116,ZBTB6
17098,CDRT15P,GOLPH3,CHRNA7,ITFG1,FABP2,OR7E91P,SLC22A15,SLC1A6,FLJ46321
17099,GLIPR1L2,ZNF804A,CHRNA6,HNRNPL,FABP3,IDS,GPR77,MADD,NECAP2
17100,GLIPR1L1,FBXO5,CHRNA5,ASL,CHAT,RRS1,MYO6,C1orf115,NEU2
17101,NFATC3,C6orf225,CHRNA4,ATP6V0B,FABP1,ARMC6,JUN,EXO1,CYB5A
17102,ARMCX2,TBX6,ARL6IP1,ATP6V0C,AKR1C4,RBKS,DLG3,ZBTB8A,SLC17A4
17103,CHRNA9,XRN1,TLR4,GRIA1,MESP2,NFATC3,USP54,ZBTB8B,STMN2
17104,ZNF860,ZWILCH,MT1DP,UFM1,GABRA6,GLIPR1L1,RBM34,SHKBP1,LCP1
17105,DISP1,SUPT4H1,DICER1,GKN1,GABRA1,GLIPR1L2,SFI1,CEACAM1,AARSD1
17106,LONP2,MSRA,ARL6IP5,HNRNPR,AKR1C1,CDRT15P,OR2T4,ATRIP,ITPRIPL2
17107,GDNF,TFPI2,?|652919,NEIL3,AKR1C2,TNFAIP8L3,C6orf201,CEACAM3,AKD1
17108,PEF1,CACNG4,NCRNA00032,SNORD115-16,ZNF771,IDE,SHROOM1,CEACAM5,SNORD22
17109,TMEM145,ZNF80,TCF7L2,UHRF1BP1L,FKSG29,ZNF204P,THYN1,CEACAM4,PANK1
17110,YME1L1,MLC1,SNORD26,MGEA5,MMP26,LRG1,LIMCH1,CEACAM7,ASTN2
17111,DISP2,GPR160,CHGB,L1TD1,SPDYC,NCAM2,PARD3,CEACAM6,NQO1
17112,MPPE1,MTCH1,CPAMD8,PHKG2,CENPC1,C14orf101,ORC6L,CEACAM8,LOC729609
17113,FSHR,YWHAZ,FAM18B2,ORAI3,C1QBP,BAT5,PCDHGA12,SLC46A2,JAGN1
17114,COL8A1,FDPS,HP1BP3,SNORA70B,MTERFD2,PTPRN2,PXN,SLC46A3,LGALS14
17115,AQP12A,VSIG1,SLFNL1,ORAI1,ITFG1,HEXIM2,SERPINE1,11-Sep,CITED4
17116,AQP12B,TNF,PLAC1L,POM121L12,GRIA3,TMEM38A,RPL11,OR51G2,COPS3
17117,TFIP11,BATF,LOC100302401,LGALS12,HNRNPL,PDIA4,ZFC3H1,PARP2,CPOX
17118,GLI1,ZFHX4,TIGD3,STH,DNMBP,TIAL1,LHX2,TMEM154,GGNBP1
17119,GLI3,LOC100130264,ID1,LOC221442,ATP6V0B,SLC10A2,MEX3A,OR51G1,BATF2
17120,AHDC1,PDHX,ID3,TSIX,GRIA1,OR4A5,HIST3H2A,RAPGEF4,OR7G2
17121,BCMO1,MAPKAPK2,ID2,ZNF672,UFM1,C15orf5,NOL10,ENG,UPP1
17122,COL8A2,MAPKAPK3,TLR5,OPN1LW,SEPW1,C15orf2,PRAF2,LAT2,C10orf62
17123,HNRNPA1L2,TSSK6,ID4,DLAT,SNORD30,PMFBP1,PLEKHA6,ZNF274,DMKN
17124,AQR,MAPKAPK5,ARL6IP4,C12orf29,CXorf30,LOC643763,GRIK3,GTF2IRD1,GRIK2
17125,SPATA1,EED,ARL6IP6,DTYMK,SLC37A1,NAIP,C19orf12,GTF2IRD2,ZMIZ1
17126,ATPBD4,FBXO9,IDE,ZNF343,ARFGEF2,HACE1,CLIC2,KIAA0415,LOC348840
17127,SPATA7,PHLPP2,CCDC105,C12orf27,TOPBP1,HEXIM1,NSA2,CHAC2,OR4D5
17128,LPHN1,PABPC5,CGB,C12orf26,OR6C2,DENND5B,TFE3,SNORD114-8,SERHL
17129,TLR9,LOC653786,HIATL2,C12orf24,RSPRY1,DENND5A,ZNHIT2,PCDHGC4,RNF6
17130,RCC2,MACF1,CCDC108,C12orf23,SUPT7L,PTCRA,C6orf64,AGMAT,UPK1A
17131,RCC1,PABPC1,CGA,TUBB2C,OR6C1,C14orf104,ZDHHC15,F12,OR52D1
17132,SNORD114-7,LOC148413,CGN,TMED2,TLX2,CATSPER2P1,EIF4A3,THADA,PLEKHG2
17133,SPATA2,FBXO6,CCDC107,HIST3H3,PVRIG,TRIM4,CRELD2,F10,PMS2L11
17134,PDGFD,TRIM6,CCDC104,RNASEH2A,ADH1B,LOC284632,RLTPR,F11,SIGLEC15
17135,UBA7,CWH43,ARMC5,CEP170,SERPINF1,ARMCX6,NID2,EXOG,CEACAM4
17136,DMKN,SIGLEC8,POLD1,RNASEH2B,HCK,ZNF532,MDFIC,SNORD1C,CMBL
17137,SPATA3,APOL2,CCDC103,SNHG9,TNRC18,LRRC18,CEBPG,EPAS1,AQP11
17138,GTF2E2,CDC40,FAHD2B,KIAA0284,ARFGEF1,LRRC19,SDK2,HDGFL1,CAMKK1
17139,MTMR8,PGLYRP3,CCDC101,MAOB,DNLZ,ANGPT1,RGS1,SNORA3,ACMSD
17140,HCCS,TECR,TNFAIP8L2,LBR,APOC1P1,LRRC17,SFRS1,IQUB,GCM2
17141,TSGA14,NADSYN1,NCAM2,EGF,KIAA1704,ANGPT2,LRCH2,SLC27A1,NAIP
17142,ANKRD9,TAS2R13,LRG1,GCM2,SNORD31,SNORD96A,L1CAM,IL34,SNPH
17143,ANKRD2,KRTAP9-9,ZNF204P,ZNF880,MLEC,LRRC10,FOLR1,C20orf141,CYP27A1
17144,MAPK8IP2,NEK10,BICD2,FAM86B2,TGM3,LOC284798,ERRFI1,LOC219347,SPANXN5
17145,ID3,CDC42,POLD2,FAM86B1,CYP2W1,HSFX1,KIF1B,C20orf144,SYT12
17146,FAM18B2,LOC145783,NUB1,TAF4,SLC30A8,FAM19A4,RNF130,FZD9,AVEN
17147,HP1BP3,KRTAP9-8,REEP6,MXRA5,SLC30A7,DOK7,SLC35A3,SNCA,RPS5
17148,?|652919,C17orf37,CECR7,BPHL,SLC30A6,TYW1B,GPR179,CDKAL1,GNL1
17149,SLFNL1,RAB7L1,CECR6,OR14A16,SLC30A1,PLEKHF2,ZC3H3,SERPINA12,LOC728410
17150,LOC100302401,C17orf39,CECR5,ARPM1,LOC647859,C8G,DCUN1D5,SERPINA13,CLK3
17151,TIGD3,CLPTM1,CECR4,MXRA8,SLC30A3,C1orf180,COL24A1,RAPGEF6,CHRNA5
17152,ID1,TNFSF9,FUBP1,UBE2V2,ASPDH,TEAD2,INTS8,SERPINA11,SNORA18
17153,ID2,TMEM70,CECR2,RNF26,PLA2G4C,C1orf182,ACVR1,TRNAU1AP,TESK2
17154,CHGB,TMEM53,CECR1,RNF20,EML2,LOC151300,OR5E1P,TMEM126A,GSDMA
17155,TLR5,PGLYRP2,PI4KAP2,ZNF732,EML1,C1orf185,BCHE,TMEM126B,ZNF720
17156,ID4,PGLYRP1,LOC641298,CMBL,EML6,C1orf186,HNRPDL,SNORA71B,ZNF358
17157,PLAC1L,ACRV1,ARMCX3,H3F3C,UBAP2L,C1orf187,ROR2,MOCOS,GPR21
17158,DICER1,PDDC1,DLC1,LOC55908,BAI2,PTPN22,LOC441869,TMEM67,GCN1L1
17159,CEP152,YLPM1,REEP2,PREP,BAI1,FAM180A,LOC283922,TNR,PHOSPHO2
17160,MT1DP,CDCA3,REEP3,VANGL2,SNORD115-10,LOC647979,WNT5A,CYP4B1,GMFB
17161,MAPK8IP3,CDCA2,PML,ZNF735,OPRL1,SSTR5,AACS,ZNF621,CCL26
17162,CPAMD8,PIPSL,RPRM,LSP1,PRUNE,PLEKHF1,KIAA1543,FAM81A,OSGEPL1
17163,SNORD26,UBTF,POLD4,C1GALT1C1,COQ4,WFS1,EGFL7,RCOR2,NKX2-4
17164,ANKRD1,SNORA36C,MAPKAPK5,ZBTB17,ASAH1,BRI3,CFLP1,C21orf45,CA2
17165,LOC100268168,DPYD,EED,SSTR3,ASAH2,MAP7,WDR37,FAM81B,TAAR8
17166,ZNF846,RGS20,DQX1,C10orf88,GABARAPL2,CXorf49B,MIIP,TIGD5,C20orf27
17167,ANKRD7,RGS21,DMRTA2,A2ML1,KLKP1,CHIT1,EPB41L3,ADHFE1,SLC38A6
17168,ANKRD6,RGS22,ZNF713,CLEC18C,PRR4,MRPL18,GLT8D2,TIGD7,MATN1
17169,ANKRD5,BIN2,ZNF860,ARG2,PRR5,?|728045,SH3RF1,TIGD6,TRADD
17170,UBOX5,BIN3,EBPL,TMEM203,PRR7,APEX1,SLC39A4,12-Sep,ST8SIA6
17171,XBP1,BIN1,RFC4,ANKRD45,DVL2,C1orf58,USP6NL,FLT4,ATP13A3
17172,OPLAH,VCY,DMRTA1,TOX,DVL3,RPL37A,EDEM1,PPDPF,ZNF33A
17173,COL20A1,CHAF1B,ZNF716,PCID2,DVL1,OVOL2,GPR81,FLT3,ECSIT
17174,TCF7L2,DCAKD,THG1L,CYP20A1,ABCB6,SERPINI1,MYEOV,C21orf49,VPS26B
17175,NECAB3,TTTY8,ZNF718,VANGL1,ABCB4,PPY,SRPR,FLT1,OCIAD1
17176,TIGD2,CD5L,BASE,RASAL3,MED18,SPOCD1,ITK,PODN,IBTK
17177,LEPREL1,SNORD18A,TIE1,SLC4A3,MED19,FANK1,ODZ3,SCGB1D4,FABP12
17178,LEPREL2,BARX2,EPHA10,ZC3H4,ABCB9,RAB37,C4A,GSG1L,KRTAP9-2
17179,LENEP,SULT1A2,DYNC1H1,ZC3H6,JSRP1,ESRRG,YARS,LOC728276,PROSC
17180,MSN,OSTalpha,TMEM208,RIPPLY1,SLC9A4,CRIPAK,C1orf172,UGT2B15,LOC285375
17181,NCRNA00032,SULT1A1,IL28A,RIMKLB,NLRC4,MAP6,CABC1,PIP5K1B,HIST1H2AA
17182,BAT2,MEIS3P1,IL28B,TRPC4AP,SLC9A5,NNT,CLINT1,TIPIN,JMJD5
17183,C14orf101,FAM71E2,CLEC11A,FLJ45244,PSME4,HARS2,ZNF764,H1FX,LRRC58
17184,C14orf106,FAM71E1,NFAM1,CIDEA,PSME2,GALNT13,MEG3,VKORC1,WDR72
17185,NNT,ILDR1,TOM1L2,2-Mar,PSME1,GALNT10,NFIX,OXSM,HCRTR2
17186,FAM19A1,TMEM52,CLDN20,CROT,ZNF69,GALNT11,CDC25B,ZNF214,FBXO47
17187,FAM19A3,ILDR2,C14orf21,NPHS1,MTSS1,CDS1,ARL8A,SDR9C7,RALGAPB
