,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
80,ITPRIPL1,ZFP36,CEACAM21,SGCZ,DMD,IQGAP3,ELK4,STK40,PAPPA2
81,GNAL,FXR2,CEACAM20,FAM162B,GSTM5,CEP55,LCN15,MYO3B,CFL2
82,SLC17A7,CSN2,RNY4,CPA1,LRRC3B,DST,DEFB119,ATP2A1,DLGAP5
83,IGF2AS,P2RY12,SAPS1,ART4,RUSC1,ABLIM1,AP1G1,ATP2A2,GPR146
84,C17orf97,WNT2B,TCHP,EFHA2,LIFR,ABCA8,TTTY4C,ATP2A3,UBE2C
85,C10orf107,CD82,OR6N1,WHAMML2,SLC35A2,PDE2A,CYP2D6,ITGA1,CILP2
86,IQGAP3,COL11A2,PDZK1,NIPSNAP3B,CRB2,PPP4C,DEFB113,ITGA2,PRRG3
87,LRRTM2,ZC3H10,TCHH,TTC28,CHRDL1,EZH1,DEFB112,ITGA3,HJURP
88,SNX27,GAB4,TDRD3,NECAB1,PAQR4,HIF3A,DEFB115,ITGA4,CAT
89,EIF2B4,SERPINF1,NUAK1,LOC572558,EDN3,VIT,DEFB114,ITGA5,NPR1
90,KCNS3,FIGF,DSC3,PTN,DUSP1,LOC286367,DEFB116,ITGA6,ACSS2
91,FLRT3,C1QTNF9,PDGFC,CTHRC1,CA4,SH3BGRL2,OR4C12,ITGA7,PYGM
92,FAM126A,SFRS3,LOC339674,ZNF658,KATNA1,NDC80,OR4C13,TRHR,UBE2T
93,NBL1,IER2,SP140,CRB2,NCAM1,PRC1,OR4C11,LOC100132288,EPB42
94,COL6A6,LOC643763,MGC16142,DUSP6,CNN1,TGFBR2,RPS19,DENND4A,HEPACAM
95,MORC3,ARPP21,ZNF362,AQP7P3,RYR3,GABARAPL1,MYL1,DENND4B,HAS3
96,EGR1,TRIM16L,IL11RA,PMM2,SGCZ,PPP1R12B,DCAF4L1,DENND4C,BMP8A
97,ECHDC2,HS3ST4,KIAA0240,NBLA00301,EGR2,NCAPG,KCNG4,SWAP70,KLB
98,PCDH17,ICAM1,KIAA0247,NTF4,USP44,GLYAT,DCAF4L2,RARRES1,TK1
99,OR1Q1,SUSD2,VWA2,LOC388387,PMM2,ITIH5,KCNG2,LOC100132287,GSN
100,TSSK1B,CXCL3,PUS7,ARRDC3,LOC339290,CBX7,XKRY,PHLDA3,NACC1
101,RPA1,STAC,PDE6D,FST,EFHA2,ASPM,XKRX,PHLDA2,CLEC4GP1
102,FGF9,RAPGEF2,LOC400696,EDN3,FGF1,KLB,OOEP,TACO1,PBK
103,NBPF6,KLF15,SLC4A10,SAMD5,CACHD1,ABCA9,FTLP10,PMM1,C13orf36
104,SH3RF1,SELENBP1,GPX8,SNTG2,PCCA,CDC25C,ATXN8OS,GAP43,RAG1AP1
105,SEC31A,ITGA1,PDE6G,SCN2B,TTC28,SYNPO2,NEUROD2,NENF,TPX2
106,POLR2J4,RERGL,GYLTL1B,MYH11,CTHRC1,TACC3,KAT5,SQLE,ITIH5
107,ZNF18,CDH13,NBAS,PCCA,ADAMTS15,GIPC2,VTA1,MRPL28,P4HA3
108,STAT1,DSC3,TERT,C10orf108,WHAMML2,PAQR4,ICAM3,LOC100289341,CLEC3B
109,DUSP6,TRIM2,ECEL1,SLC4A1,FST,GINS1,SNORA2A,FBXL13,CEP68
110,CXCL3,LOC642587,RPL21P44,LAMB4,NACC1,KCNE1,DPM3,FBXL12,OXTR
111,LOC158696,TARS2,RMST,GFAP,SNTG2,IGSF10,ZNF35,FBXL15,BUB1
112,MFF,MC5R,NIF3L1,EGR2,CABP1,JTB,ZNF610,CYP27B1,COL11A1
113,TNFRSF18,RGMA,SYNPO2L,RAP1GDS1,RERGL,TROAP,?|442388,FBXL17,TMEM220
114,LNP1,NCOA3,CHAF1A,PPAPDC1A,OR5P2,MSRB3,OR51M1,FBXL16,SDPR
115,C20orf111,OVCH1,CASP3,ADAMTS15,CCDC50,ANKRD29,ZNF615,FAM169A,LOC55908
116,ODF4,PTCH2,DRD3,SSTR1,CLEC3B,HLF,OR5B21,FAM116B,ARHGAP20
117,SLC22A11,PGP,DRD2,CBX7,ADH1C,LRRN4CL,OR51B6,FAM116A,KIF26B
118,CAMK1,PCDH8,DRD5,KY,CD59,TSHZ2,NEUROD1,FAM169B,DTL
119,GPATCH2,FLJ12825,DRD4,TP63,LAMB4,IL33,NEUROD4,RALGAPA2,LPL
120,LOC415056,COL17A1,PRDM8,ANGPTL7,TBC1D4,CENPF,C20orf177,GHDC,TROAP
121,SEL1L2,RBM7,CASP1,ESM1,FOSB,NACC1,SNORA5B,H19,KLHL31
122,FREM1,DLK2,SMC4,ADH1C,SAMD5,DTL,OR4K17,SDK2,SPRY2
123,CNTNAP3,ANXA1,CASP2,CACHD1,C11orf71,UBE2C,C1orf161,GRP,TRDN
124,FEZF2,SPATA5,TMBIM6,C11orf71,PALMD,FAM70A,RAX,TPRN,SLC35A2
125,HOXA5,KIF12,CASP5,AP1S1,HOXA4,ADH1A,OR4K13,THSD4,HIF3A
126,PTPN21,HOXA4,CASP4,CA4,ABCA8,FOXO1,DCK,KIAA0895L,IGFBP6
127,FBXL16,NCF1C,CASP7,TBC1D4,COL11A1,C6orf129,OR51B2,CHST9,CCL11
128,LCA5,MGC27382,CASP6,RAB31,WT1,LRRC2,SPCS1,CHST8,DMD
129,EIF1,AGAP11,TMBIM1,ADH4,OSGIN1,KIF18B,LPAL2,COL4A5,C3orf50
130,WASF3,PLEKHG1,FLNB,RPE65,PTN,CCDC46,ZFAND3,COL4A4,CDK1
131,PLCZ1,LRIG3,TMBIM4,DST,C10orf108,GLRA4,SNX14,COL4A3,ACVR1C
132,ART4,AAAS,ULK1,KCNJ2,CTXN3,FAM13A,PGK2,COL4A2,C20orf103
133,HNRNPA3P1,ICAM5,PDE6A,OSGIN1,FAM189A2,CNIH2,MRPL2,COL4A1,PDE2A
134,ITGB1BP3,L1CAM,TGIF2LY,WT1,AP1S1,CXCL2,MRPL4,SLC35D2,SMYD1
135,AKR1B10,PAK7,ZNF354B,CNN1,NTF4,CDKN3,CCT6P1,CHST1,LOC90586
136,AMPD1,ADAMTS16,CSAG3,VWA5A,PACRG,KIF14,MGC23270,ZNF879,DCT
137,VPS45,GFRAL,SPTAN1,MYOC,KCNMB2,DPP3,SDHAP1,CHST3,HSPB7
138,CDKN2BAS,OCA2,SCGB2A2,RERGL,MSRA,NR3C1,OMP,CHST2,HAGHL
139,TSKS,ZDHHC8,GPSM1,FAM158A,HEYL,CLEC3B,WARS2,CHST5,MELK
140,C7orf41,ATP2B4,GPSM3,WSCD1,RPL21P44,P2RY12,INSM2,CHST4,BTNL9
141,YWHAQ,SARM1,GLE1,CENPA,MASP1,KCNIP2,TOMM20,CHST7,SORBS1
142,F10,PKD2,MSL3L2,OR5P2,SSTR1,MYOC,LOC253724,CHST6,C16orf59
143,C15orf50,MSRB3,ZNF408,CNTNAP3,C7orf41,PAK7,KCTD3,ITGAX,GPR144
144,ANKMY2,TRIM68,VPS33B,DLGAP2,MYOC,NTRK2,ATP6AP1L,OR8J1,KCNIP2
145,PANK1,PPARA,ZNF407,GPRASP2,CYB5D2,CAPN11,SNORA5A,SNORD115-17,MASP1
146,CBLN3,PHKG1,RNF126P1,CYB5D2,ZC3H12B,ANGPT4,MAGEC1,BCL2A1,C1QTNF9
147,RIBC2,CD300LG,CDC14A,PACRG,GNAL,IBSP,MAGEC3,GPSM2,MMP13
148,OR2L3,KIF26B,COL13A1,NACC1,CNTNAP3,AGAP11,MAGEC2,HLCS,MME
149,UNG,NAMPT,PREB,D4S234E,NIPSNAP3B,KIFC1,SNORA38B,NOG,ASPM
150,HIST1H2BM,SCHIP1,NFYA,MSRA,NR3C1,HSPB7,SNX17,LIPG,KLHL33
151,C16orf93,CATSPERB,HSD11B1L,HOXA4,SORBS1,OXTR,PNRC2,ITGAV,TSLP
152,NUB1,CNTNAP3,CSAG2,PTGFR,C1orf85,C18orf34,QRFP,HIBCH,CST2
153,MRPS27,GPN1,CSAG1,CRIM1,NGFR,LPL,PAM,ZNF703,RRM2
154,USP39,IL1F5,AIMP1,CLEC3B,C16orf75,LEPR,OR51B4,ITGAL,ABCB5
155,CXorf1,NR0B1,PRELID1,TMEM206,NBLA00301,ATP6V0B,WNT8B,ITGAM,LOC283867
156,RPL13AP6,RBM9,RABL3,C15orf52,FAM158A,LAGE3,SELENBP1,LOC286359,LOC728264
157,PCDHGA2,A2M,SNORD114-16,FOSB,C1QTNF9,GABRD,SCAND1,HLF,PRR19
